queue_id,corpus_row,legal_name,purpose,predicted_sector,predicted_sector_name,top3,margin,stratum,true_sector,keywords_ground_truth,annotator_note
0,6094,Heim Garten- und Landschaftsbau GmbH,Garten- und Landschaftsbau sowie Handel mit Agrarprodukten aller Art. ferner: Ausdrücklich nicht zum Gegenstand des Unternehmens rechnen die zur landwirtschaftlichen Urproduktion gehörenden Geschäfte einer Baumschule.,A,"Agriculture, Forestry and Fishing",A|G|P,0.1598,representative,,,
1,3500,GREENfinity GmbH,"Aufzucht, Anbau von und Handel mit Pflanzen aller Art und mit den Erträgen daraus",A,"Agriculture, Forestry and Fishing",A|B|C,0.1050,representative,,,
2,4050,MZTA Mehrzwecktrocknungsanlagen GmbH,"- Be- und Verarbeitung landwirtschaftlicher Erzeugnisse, insbesondere die Durchführung von Trocknungsarbeiten in Mehrzweckanlagen, - Handel mit und Vertrieb von landwirtschaftlichen Erzeugnissen, - Ausführung von Dienstleistungen mit Schwerpunkt im landwirtschaftlichen und kommunalen Bereich, - alle damit im Zusammenhang stehenden sowie dem Gesellschaftszweck dienlichen Geschäften.",A,"Agriculture, Forestry and Fishing",A|C|S,0.0811,representative,,,
3,5579,Garten- und Landschaftsbau Browa GmbH,Garten- und Landschaftsbau.,A,"Agriculture, Forestry and Fishing",A|R|L,0.0255,low_margin,,,
4,117,Stecker GmbH,Garten- und Landschaftsbau.,A,"Agriculture, Forestry and Fishing",A|R|L,0.0255,representative,,,
5,1104,Stefan Obholzer GmbH,Planung und Gestaltung von Gartenanlagen und Durchführung aller damit zusammenhängenden Arbeiten.,A,"Agriculture, Forestry and Fishing",A|L|F,0.0149,low_margin,,,
6,5181,Kollektive Mühlenbäckerei 'LEMBAS' Gesellschaft mit beschränkter Haftung,"Gegenstand des Unternehmens ist a) die Herstellung und der Vertrieb von Vollkornbrot unter der Bezeichnung 'LEMBAS' und anderen Vollkornbackwaren. Es wird nur Getreide verwendet, welches umweltfreundlich, ohne synthetische Dünge- und Pflanzenschutzmittel angebaut wird; möglichst nach den Richtlinien eines Verbandes wie Demeter oder Bioland; b) der Vertrieb von Lebensmitteln, die weitgehend nicht nach einer für die Menschheit und die Erde schädlichen Anbauweise angebaut sind; c) der Vertrieb anderer Waren aus Naturstoffen, insbesondere solcher aus Ländern der Dritten Welt, soweit deren Vertrieb dem in den Abschnitten a) und b) genannten Unternehmenszweck nicht entgegensteht und die Aufnahme der Waren durch die Versammlung der Gesellschafter/innen beschlossen wurde. Die Gesellschaft kann gleichartige oder ähnliche Unternehmen gründen, erwerben oder sich an solchen beteiligen.",A,"Agriculture, Forestry and Fishing",A|C|E,0.0084,low_margin,,,
7,1266,Verena GmbH,"Erwerb, Halten, Verwalten und Verwerten von Beteiligungen und Vermögensanlagen aller Art, insbesondere im Bereich der Landund Forstwirtschaft. Die Gesellschaft handelt ausschließlich im eigenen Namen und auf eigene Rechnung. Die Gesellschaft übt keine erlaubnispflichtigen Tätigkeiten, insbesondere nach der GewO und dem KWG, aus.",A,"Agriculture, Forestry and Fishing",A|L|T,0.0076,low_margin,,,
8,8332,Bartel Bodenbeläge Lohmar 1 UG (haftungsbeschränkt),"Das Erbringen von Bauleistungen, insbesondere das Verlegen von Fliesen, Platten, Mosaik, Parkett und Estrich sowie die Herstellung von Betonstein- und Terrazzoböden.",B,Mining and Quarrying,B|F|C,0.0552,representative,,,
9,7541,ISD Trockenbau UG (haftungsbeschränkt),Trockenbau,B,Mining and Quarrying,B|H|P,0.0544,representative,,,
10,4908,AluPonz GmbH,Handel mit Aluminiumprofilen und Aluminiumelementen,B,Mining and Quarrying,B|C|G,0.0295,representative,,,
11,3282,Mauerwerk Schutz UG (haftungsbeschränkt),Vertrieb von Produkten des Mauerwerkschutzes,B,Mining and Quarrying,B|G|L,0.0278,representative,,,
12,4047,Holger Puls GmbH,Handel und Werksvertretungen für Stahlbetonfertigteile und Bauprodukte.,B,Mining and Quarrying,B|F|C,0.0259,low_margin,,,
13,3918,"PM Mira GmbH, Schornsteintechnik","die Reparatur und Sanierung von Schornsteinen. Die Gesellschaft kann Unternehmen gleicher oder ähnlicher Art übernehmen, gründen oder sich an ihnen beteiligen, sowie deren Vertretung übernehmen. Sie kann Niederlassungen errichten.",B,Mining and Quarrying,B|F|C,0.0236,low_margin,,,
14,9265,Bergmann Bau GmbH,Tief- und Straßenbauarbeiten aller Art,B,Mining and Quarrying,B|F|L,0.0048,low_margin,,,
15,1433,Paul Zielfleisch GmbH Offsetdruck,"Herstellung von Drucksachen aller Art, insbesondere im Offsetdruckverfahren.",C,Manufacturing,C|M|F,0.2530,representative,,,
