id,purpose_de,purpose_en,gold_section,predicted_section,top3_sections,author_category,author_note
17,Betrieb eines Autohauses mit Reparaturwerkstatt sowie die Autovermietung und der Karosseriebau.,Operation of a car dealership with repair shop as well as car rental and car body construction.,G (Wholesale and Retail Trade),F (Construction),F (Construction) | C (Manufacturing) | L (Real Estate Activities),,
122,Verkauf und Vermietung von sicherheitstechnischen Anlagen,Sale and rental of safety equipment,G (Wholesale and Retail Trade),O (Public Administration and Defence),O (Public Administration and Defence) | G (Wholesale and Retail Trade) | H (Transportation and Storage),,
59,"Der Betrieb eines Containerdienstes, die Baumaschinenvermietung, der Güternahverkehr, Erdbau und Abrissarbeiten..","The operation of a container service, the leasing of construction machinery, the transport of goods, earthworks and demolition work.","E (Water Supply, Sewerage, Waste Management)",H (Transportation and Storage),"H (Transportation and Storage) | E (Water Supply, Sewerage, Waste Management) | C (Manufacturing)",,
249,Führung einer Pferdepension und Reitschule; Ausbildung von Pferden und Reitern.,Guided tour of a horse pension and riding school; Training of horses and riders.,"R (Arts, Entertainment and Recreation)",P (Education),P (Education) | S (Other Service Activities) | N (Administrative and Support Service Activities),,
213,"Betrieb eines Ingenieurbüros, insbesondere die Planung, Arbeitsvorbereitung, Projektüberwachung und Kostenüberprüfung im Hochbau.","Operation of an engineering office, in particular the planning, work preparation, project monitoring and cost verification in building construction.","M (Professional, Scientific and Technical Activities)",F (Construction),"F (Construction) | N (Administrative and Support Service Activities) | M (Professional, Scientific and Technical Activities)",,
154,"Handel mit EDV-Hard- und Software und Zubehör, Systemberatung, -schulung und - betreuung, Wartung von EDV - Anlagen.","Trade in computer hardware and software and accessories, system consulting, training and maintenance, maintenance of computer equipment.",G (Wholesale and Retail Trade),J (Information and Communication),"J (Information and Communication) | M (Professional, Scientific and Technical Activities) | N (Administrative and Support Service Activities)",,
239,"Erwerb und die Verwaltung von Beteiligungen an Unternehmen im In- und Ausland, insbesondere von Anteilen der OLHO-technik Czech s.r.o.","Acquisition and management of holdings in companies in Germany and abroad, in particular of shares in OLHO-technik Czech s.r.o.",K (Financial and Insurance Activities),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | K (Financial and Insurance Activities) | L (Real Estate Activities)",,
230,"Gegenstand geändert, nun: Gegenstand des Unternehmens ist - die Erbringung von Dienstleistungen für Unternehmen oder Dritte auf dem Gebiet des Datenschutzes, insb. die Beratung, die Durchführung von Schulungen, die Stellung eines externen Datenschutzbeauftragten; - die Erstellung und Publikation von Veröffentlichungen zum Thema Datenschutz; - die Informationsvermittlung zum Thema Datenschutz, insb. über ein webbasiertes Informationsportal.","Subject-matter amended, now: The subject-matter of the company is - the provision of services to companies or third parties in the field of data protection, insb. advice, training, the position of an external data protection officer; - the preparation and publication of data protection publications; - the provision of information on the subject of data protection, etc. via a web-based information portal.","M (Professional, Scientific and Technical Activities)",J (Information and Communication),"J (Information and Communication) | M (Professional, Scientific and Technical Activities) | N (Administrative and Support Service Activities)",,
233,"Gegenstand des Unternehmens ist auf dem Gebiet der Stadt Kierspe die Errichtung, der Umbau, die Betreuung, Bewirtschaftung und Verwaltung von Kindergärten.","The company is active in the area of the town of Kierspe in the construction, conversion, care, management and administration of kindergartens.",Q (Human Health and Social Work Activities),N (Administrative and Support Service Activities),N (Administrative and Support Service Activities) | F (Construction) | L (Real Estate Activities),,
52,Erbringung von Elektroinstallationsarbeiten und der Handel mit Elektroartikeln.,the provision of electrical installations and the sale of electrical goods.,F (Construction),"D (Electricity, Gas, Steam and Air Conditioning Supply)","D (Electricity, Gas, Steam and Air Conditioning Supply) | C (Manufacturing) | F (Construction)",,
