id,legal_name,purpose,text_length,true_sector,predicted_sector,top3,score_top1,margin_top1_top2,auto_flags,manual_category,manual_note
2,Pleistocene & Permafrost Stiftung gemeinnützige UG (haftungsbeschränkt),"Beschaffung von Mitteln, insbesondere Sammeln von Spenden oder auf andere Art zur Förderung von Wissenschaft und Forschung; des Naturschutzes und Landschaftspflege im Sinne des Bundesnaturschutzgesetzes und Naturschutzgesetze der Länder, des Umweltschutzes, des Küstenschutzes und des Hochwasserschutzes sowie des Tierschutzes.",327,S,A,A|M|O,0.4339,0.0230,crowded_top3|outside_top3,seed_leakage,
4,J. Nollmann Garten- und Landschaftsbau UG (haftungsbeschränkt),Garten- und Landschaftsbau,26,N,A,A|L|N,0.5053,0.0049,short_text|low_margin|recoverable_in_top3,seed_leakage,'Garten- und Landschaftsbau' is landscape service (N 81.30); section A's seeds own Garten/Landschaft
6,Fliesen Galerie GmbH,"der Handel mit Bodenbelägen aller Art, insbesondere mit Fliesen und Naturstein",78,G,B,B|G|H,0.6916,0.2184,recoverable_in_top3,,
7,DS Bodenbeläge GmbH,Die Durchführung von Bodenbelagsarbeiten.,41,F,B,B|F|N,0.5628,0.0361,short_text|recoverable_in_top3,seed_leakage,'Bodenbelagsarbeiten' — 'Boden' pulled into Mining
9,concrete robotics GmbH,"Verkauf, Vertrieb und Herstellung von mineralischen Feinstäuben für die Produktion von Beton, Teil- oder kompletten Premixes für die Herstellung von hydraulisch gebundenen Betonen. Darüber hinaus vertreibt die Gesellschaft ggf. über eine auszugründende Gesellschaft spezielle Mischer und Mischanlagen für die Produktion von Sonderbetonen sowie Fertigungsanlagen zur Verarbeitung von Sonderbetonen. Vergabe von Lizenzen für den gleichen Unternehmenszweck an externe Firmen sowie die Ausgründung und die Beteiligung an Firmen zur Durchführung des Unternehmenszweck oder die Beteiligung an Firmen die dem Unternehmenszweck dienen, sowie der Abschluss aller damit im Zusammenhang stehenden Geschäfte.",696,C,B,B|F|C,0.5052,0.0176,low_margin|crowded_top3|boilerplate_shape|recoverable_in_top3,,
10,Wilhelm Steiger Kessel- und Behälterbau Gesellschaft mit beschränkter Haftung,der Kessel- und Behälterbau,27,C,B,B|C|F,0.5374,0.0194,short_text|low_margin|recoverable_in_top3,,
11,HM Main Bau GmbH,Die Erstellung von Rohbauten (Hochbau).,39,F,B,B|L|F,0.5991,0.0267,short_text|crowded_top3|recoverable_in_top3,seed_leakage,'Rohbauten' — 'Roh' pulled into raw-material extraction
12,Aegis Coating GmbH,Oberflächenbehandlung und der Korrosionsschutz,46,C,E,E|F|B,0.2806,0.0081,short_text|low_margin|outside_top3,seed_leakage,'Oberflächenbehandlung' — 'Behandlung' pulled into waste treatment
15,Elektro-Reichert GmbH,"ist Planung, Berechnung, Bau, Errichtung, Prüfung, Inbetriebnahme, Wartung und Instandsetzung von elektrischen Anlagen zur Erzeugung, Fortleitung, Umwandlung und Abgabe der elektrischen Energie, Erdungs- und Blitzschutzanlagen, Antennenanlagen, Ruf- und Signalanlagen, elektrischer Energieverbrauchseinrichtungen, sowie elektrischen und elektronischen Betriebsmitteln, sowie der Handel mit branchenähnlichen Produkten. Die Firma darf andere, gleichartige oder ähnliche Unternehmen erwerben oder sich an solchen beteiligen und sämtliche einschlägigen Geschäfte betreiben, die geeignet sind, den Zweck der Gesellschaft zu fördern; desgleichen kann sie die Geschäftsführung solcher Unternehmen ausüben. Sie darf auch Zweigniederlassungen errichten.",745,F,C,C|D|J,0.6385,0.0495,boilerplate_shape|outside_top3,,
17,Autohaus Armbrüster GmbH,Betrieb eines Autohauses mit Reparaturwerkstatt sowie die Autovermietung und der Karosseriebau.,95,G,F,F|C|L,0.5576,0.0157,low_margin|outside_top3,seed_leakage,'Karosseriebau' — the -bau suffix pulled into Construction
18,M. Trapp GmbH,Gegenstand des Unternehmens der Gesellschaft ist ein Stukkateurbetrieb.,71,F,C,C|M|K,0.4829,0.0158,low_margin|outside_top3,,
20,Zweiundvierzigste Babelsberg Film GmbH,"Die Entwicklung, Vorbereitung, Herstellung, Koproduktion sowie die Auswertung eines Filmprojektes.",98,J,C,C|F|R,0.4673,0.0598,outside_top3,,
23,Jacobs & Partner GmbH,"Betrieb einer Reparaturwerkstatt für Nutzfahrzeuge, insbesondere LKW, Kräne, Forst- und Landmaschinen. Die Gesellschaft übernimmt den Vertrieb und den Service von Forst- und Gartengeräten. Sie rüstet LKW mit Spezialaufbauten aus und vertreibt sie. Die Gesellschaft führt Stahlbau- und Zerspanungsarbeiten durch. Die Gesellschaft handelt mit Neu- und Gebraucht-PKW. Die Gesellschaft vermietet PKW und Kleintransporter.",417,G,C,C|N|H,0.5664,0.0041,low_margin|outside_top3,taxonomy_granularity,
25,"""Mot""-Gaststättenbetriebs GmbH","Vermietung, Betreibung und die Verpachtung von gastronomischen- bzw. Freizeitbetrieben und der Erwerb der dafür erforderlichen Konzessionen, der Vertrieb und die Aufstellung von Automaten aller Art im In- und Ausland.",217,I,C,C|G|H,0.6237,0.0275,outside_top3,multi_sector_company,
26,INTEWA Ingenieur-Gesellschaft für Energie- und Wassertechnik mbH.,"Gegenstand des Unternehmens ist die Entwicklung, Konzeption und Produktion von Anlagen und Geräten für die Energieund Wassertechnik. Die Gesellschaft darf alle Maßnahmen treffen, die geeignet sind, den Gesellschaftszweck zu fördern. Die Gesellschaft kann sich an anderen Unternehmen, die demselben Zweck dienen oder einen verwandten oder ergänzenden Geschäftszweig führen, beteiligen oder solche Unternehmen erwerben oder kann als Vertreter solcher Unternehmen tätig werden. Die Gesellschaft ist berechtigt, sich an Personengesellschaften als unbeschränkt persönlich haftende Gesellschafterin zu beteiligen, deren Geschäftszweck gegenstandsgleich oder ähnlich ist. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten.",732,C,M,M|C|O,0.4993,0.0101,low_margin|recoverable_in_top3,ambiguous_sector_definition,
31,Tischlerei Timm GmbH,"Herstellung, Handel und Einbau von Fenstern, Türen, Treppen, Fußböden und anderen Holzelementen, Innausbau und Restauration.",124,C,F,F|C|L,0.6939,0.0144,low_margin|recoverable_in_top3,ambiguous_sector_definition,
33,LabTec Laborbedarf Vertriebs-GmbH,Der Vertrieb wissenschaftlicher Geräte und Laborbedarf.,55,G,J,J|C|M,0.5583,0.0776,outside_top3,seed_leakage,
36,Earth Alliance GmbH,"Import, Export und Handel von Umwelttechnologie und Erbringung von damit im Zusammenhang stehenden Dienstleistungen.",116,G,H,H|C|G,0.5905,0.0298,recoverable_in_top3,,
38,Gerstmayr Entsorgung & Recycling GmbH,"Erfassen und Sortieren von Wertstoffen und Recycling-Produkten sowie der Handel damit. Zur Erreichung dieses Zweckes ist die Gesellschaft zu allen Geschäften befugt, die - unmittelbar oder mittelbar - entweder dem Gesellschaftszweck zu dienen oder den Gegenstand des Unternehmens zu fördern geeignet sind. Die Gesellschaft darf andere Unternehmen im In- und Ausland übernehmen, vertreten und sich an solchen Unternehmen beteiligen. Sie darf auch Zweigniederlassungen errichten.",477,E,C,C|M|G,0.5640,0.0266,outside_top3,ambiguous_sector_definition,
