queue_id,legal_name,purpose,true_sector,annotator_note
41,Weiten Industrie-Service Verwaltungsgesellschaft mbH,"Handel und Verkauf sowie Herstellung von Schutzbelüftungsanlagen, Klimaanlagen, Partikelfilteranlagen und sonstigen verfahrenstechnischen Aufreinigungsanlagen und alle zweckdienlichen Geschäfte, die im Zusammenhang stehen",,
148,NewTalents AG,"Gegenstand des Unternehmens ist es, unbekannten Künstlern eine Plattform für deren Darstellung und deren Musik auf der Webseite der Gesellschaft anzubieten und ihnen über diese Plattform einen Schallplattenvertrag zu vermitteln, ferner Produktion, Erwerb sowie Verwertung von Musikaufnahmen unter Einschluß des Erwerbs und Verwertung der diesbezüglichen Urheber-, Leistungsschutzund sonstigen Rechte in jeglicher Form, wie z.B. auf Tonträgern oder Online sowie Führung eine Musikverlages.",,
116,GuKe Welfare & Environmental GmbH,"Export deutscher Qualitätsprodukte für Umwelt und Kindersicherheit nach China, insbesondere Güter des gehobenen Lebensstandards.",,
298,Nordsee Inkasso GmbH,Betreiben des Inkasso- und Forderungsmanagementgeschäfts. Hierzu zählen insbesondere die außergerichtliche und gerichtliche Einziehung von titulierten oder nicht titulierten fremden Forderungen im fremden Namen.,,
255,ARUNA AYURVEDA UG (haftungsbeschränkt),Beratung und Anwendung der indischen Heilkunde sowie damit in Zusammhang stehenden Aktivitäten,,
170,UKF GmbH,"Das Halten und Verwalten von Vermögen, insbesondere Grundvermögen.",,
290,Zweckverband Thermalbad Birnbach,Betrieb eines Kurmittelhauses,,
279,Pan-Trans GmbH,"Kurier-, Express- und Postdienstleistungen",,
283,MediSalesPlus GmbH,"Der Gegenstand des Unternehmens ist die auftragsgemäße Bereitstellung von freiberuflichen Außendienstmitarbeitern, insbesondere Pharmareferenten und medizinischem Pflegepersonal, einerseits zum Vertrieb von elektrischen Abrechnungs- und Kartenterminals, Nahrungsergänzungsmitteln, medizinischen Lifestyle-Produkten, verschreibungsfreien Arzneimitteln, Impfstoffen und Dermo- Kosmetika an sämtliche medizinischen Heilberufe, wie Ärzte, Zahnärzte, Veterinäre und Heilpraktiker sowie an Krankenhäuser und Kliniken und andererseits zur Erbringung von Pflegedienstleistungen.",,
106,Verwaltungsgesellschaft RST Rostock Sugar Terminal mbH,"Übernahme von Verwaltungstätigkeiten, insbesondere auch die Übernahme der persönlichen Haftung bei Kommanditgesellschaften sowie der Imund Export, Umschlag, Verpackung und Lagerung von Zucker sowie alle damit im Zusammenhang stehenden Geschäfte.",,
234,BayernCare Verwaltungs GmbH,"Gegenstand des Unternehmens ist der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der BayernCare Immobilien GmbH & Co. KG, deren Unternehmehsgegenstand ist die Akquisition, Entwicklung, Realisierung, Bauträgerschaft und der Verkauf, die Vermietung und Verpachtung sowie die Anmietung von Senioren- und Serviceimmobilien sowie Pflegeeinrichtungen und sonstigen Senioreneinrichtungen im In- und Ausland, ferner die Beteiligung an Betriebsträgergesellschaften, Vermittlung und Nachweis von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume, Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen unter Verwendung von Vermögenswerten von Erwerbern, ferner der Betrieb und die Beteiligung am Betrieb von Pflege-, Service- und Seniorenimmobilien sowie die Vermittlung von Betriebsträgern.",,
197,Maurer und Klinkner Bauunternehmung GmbH,Der Betrieb einer Bauunternehmung sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte.,,
260,BEPABO GmbH,"Einrichtung und der Betrieb sowie die Vermittlung von speziellen Figur- und Wellness-Studios mit angeschlossenen Kosmetikbereichen und Physiotherapeutischen Abteilungen in Deutschland mit Schwerpunkt im Grossraum der Bundesstadt Bonn, ferner die Beratung bei und Vertrieb von Einrichtungen für Studtios, Arzt- und Heilpraktikerpraxen sowie Wellnesseinrichtungen (eingeschlossen Fitnesstudios), schliesslich der Vertrieb von Seniorenprodukten und Wasseraufbereitungsanlagen zur Verwendung in privaten Haushalten und sämtlichen vorgenannten Räumlichkeiten.",,
135,LupoTherm Vertrieb UG (haftungsbeschränkt),Vermarktung von Produkten und Dienstleistungen im Bereich Dämmung und thermischer Isolation.,,
107,Units UG (haftungsbeschränkt),Gegenstand des Unternehmens ist Erwachsenenbildung und kindliche Früherziehung und der Handel mit Antikmöbel.,,
53,"CONTA 2000 GmbH Containerdienst-, Erd- und Abbrucharbeiten","Die Durchführung von Erd- und Abbrucharbeiten sowie die Unterhaltung von Containerdiensten, einschließlich des Einsammelns und Beförderns von Abfällen sowie der Straßen- und Tiefbau, Mauerer- und Betonbauerhandwerk.",,
24,HERA Medien UG (haftungsbeschränkt),"Herstellung und Vertrieb (EH) von polygraphischen buchhändlerischen Erzeugnissen eigener und fremder Werke, Werbe- und Promotions-Dienstleistungen (incl. Vorbereitung, Produktion und Veröffentlichung von Werbung und Promotion unter Ausnutzung von allen zugänglichen Mitteln der Polygraphischen und Audiovisuellen Übertragung), Herstellung und Vertrieb von Homepages, Webseiten sowie von Hard- und Software.",,
